miRNA	Calu3_smallRNA-S1-4h-A	Calu3_smallRNA-S1-4h-B	Calu3_smallRNA-S1-12h-A	Calu3_smallRNA-S1-12h-B	Calu3_smallRNA-S1-24h-A	Calu3_smallRNA-S1-24h-B	Calu3_smallRNA-S2-4h-A	Calu3_smallRNA-S2-4h-B	Calu3_smallRNA-S2-12h-A	Calu3_smallRNA-S2-12h-B	Calu3_smallRNA-S2-24h-A	Calu3_smallRNA-S2-24h-B	Calu3_smallRNA-mock-4h-A	Calu3_smallRNA-mock-4h-B	Calu3_smallRNA-mock-24h-A	Calu3_smallRNA-mock-24h-B	Calu3_smallRNA-untr-4h-A	Calu3_smallRNA-untr-4h-B
hsa-miR-625-5p	341	506	288	553	311	195	282	441	239	195	260	291	413	456	134	204	528	310
hsa-miR-627-3p	0	2	2	0	2	3	0	3	1	2	0	0	5	3	0	0	5	3
hsa-miR-627-5p	0	1	2	1	1	0	3	1	1	3	0	3	18	3	2	0	4	7
hsa-miR-628-3p	66	123	53	89	48	34	46	70	28	39	51	51	92	95	22	54	108	84
hsa-miR-628-5p	46	60	25	48	31	6	21	30	16	14	34	11	28	51	15	14	59	25
hsa-miR-629-3p	4	9	8	10	6	0	7	7	3	7	3	3	12	18	6	4	18	16
hsa-miR-629-5p	28	37	18	37	25	15	19	35	10	14	23	22	29	39	12	10	27	13
hsa-miR-636	0	6	1	5	0	0	0	0	3	2	5	2	3	2	0	0	6	3
hsa-miR-638	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-641	9	8	4	14	6	2	2	5	9	2	7	3	7	6	1	3	17	7
hsa-miR-642a-3p	8	9	6	13	4	0	12	12	2	3	4	4	2	15	4	1	12	8
hsa-miR-642a-5p	42	56	29	63	34	20	29	52	38	27	34	36	65	49	21	13	79	45
hsa-miR-642b-3p	0	2	3	3	1	0	4	1	0	1	0	0	2	4	0	0	2	2
hsa-miR-642b-5p	2	3	1	3	4	1	1	4	0	0	1	0	1	2	2	0	2	3
hsa-miR-643	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0
hsa-miR-6501-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6505-3p	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
hsa-miR-6505-5p	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0
hsa-miR-6508-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-6509-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6509-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-651-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-651-5p	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	1
hsa-miR-6510-3p	3	2	0	2	1	0	5	1	0	3	3	3	7	8	1	3	3	7
hsa-miR-6510-5p	0	1	1	3	1	0	1	0	1	0	1	1	0	0	0	0	1	0
hsa-miR-6511a-3p	256	188	148	384	168	68	168	228	80	128	264	128	128	312	120	124	244	188
hsa-miR-6511b-3p	57	73	29	49	31	18	40	46	31	27	41	19	45	67	19	16	71	48
hsa-miR-6513-3p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
hsa-miR-6513-5p	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6514-3p	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
hsa-miR-6514-5p	0	2	0	0	1	0	2	2	2	0	0	0	2	1	1	0	2	1
hsa-miR-6515-3p	0	3	0	1	2	0	0	1	0	0	1	0	0	1	1	1	1	0
hsa-miR-6515-5p	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	1	0
hsa-miR-6516-3p	342	432	210	569	222	138	260	408	219	216	292	259	342	345	139	138	420	262
hsa-miR-6516-5p	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	2	1	0
hsa-miR-652-3p	14	28	16	35	12	4	10	18	10	7	16	14	43	16	7	20	42	15
hsa-miR-652-5p	18	22	7	21	14	7	10	15	7	10	8	12	26	24	7	8	22	28
hsa-miR-6529-5p	2	4	4	3	0	0	0	0	0	0	0	0	0	1	0	0	1	1
hsa-miR-653-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-654-3p	32	20	10	16	21	9	16	15	11	9	14	3	48	28	5	6	29	31
hsa-miR-654-5p	2	7	3	2	4	1	1	4	0	4	2	4	8	5	2	1	5	4
hsa-miR-655-3p	10	15	5	5	9	0	2	7	3	4	3	2	49	11	1	6	20	27
hsa-miR-655-5p	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
hsa-miR-656-3p	32	17	17	34	23	3	10	6	5	7	9	5	17	18	13	10	17	22
hsa-miR-656-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-659-3p	1	0	0	0	1	0	0	3	0	0	1	0	1	0	0	0	1	1
hsa-miR-659-5p	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1
hsa-miR-660-3p	3	3	5	9	4	2	6	11	3	0	3	4	8	3	1	2	11	7
hsa-miR-660-5p	294	351	214	435	266	101	120	205	148	184	194	149	1284	478	202	158	517	625
hsa-miR-663a	1	3	1	2	0	0	3	1	1	3	3	2	4	2	0	0	1	0
hsa-miR-664a-3p	407	475	270	513	290	172	229	343	161	235	248	200	285	511	163	175	424	212
hsa-miR-664a-5p	21	17	13	25	19	11	6	25	13	15	11	13	24	23	4	9	20	17
hsa-miR-664b-3p	138	178	72	179	71	68	121	160	70	51	119	108	107	136	39	59	155	73
hsa-miR-664b-5p	3	2	2	4	3	0	3	5	3	4	7	7	3	5	0	1	6	0
hsa-miR-665	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-668-3p	1	3	5	2	1	1	2	2	1	2	0	0	1	3	2	1	1	2
hsa-miR-671-3p	9	19	7	17	12	10	7	15	9	2	11	3	16	6	3	2	17	10
hsa-miR-671-5p	83	101	55	118	64	26	55	79	64	53	58	57	127	125	32	52	104	69
hsa-miR-6716-3p	0	2	2	3	2	1	1	1	0	0	1	0	1	2	0	1	6	2
hsa-miR-6716-5p	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-6721-5p	9	10	12	17	6	6	4	18	10	6	11	7	15	10	1	6	25	9
hsa-miR-6724-5p	8	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0
hsa-miR-6726-3p	1	2	0	2	0	0	0	1	0	0	0	1	2	1	0	0	0	0
hsa-miR-6726-5p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	3	0
hsa-miR-6727-3p	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6727-5p	1	1	0	3	0	1	0	1	1	1	3	0	2	1	0	1	1	1
hsa-miR-6728-3p	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0
hsa-miR-6729-3p	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
hsa-miR-6729-5p	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0
hsa-miR-6730-3p	1	1	0	2	1	1	2	1	0	0	0	0	3	1	0	0	2	2
hsa-miR-6730-5p	1	0	3	2	1	0	3	1	1	1	1	1	1	2	0	0	1	0
hsa-miR-6732-3p	2	3	4	6	3	1	0	2	2	1	2	1	1	6	2	0	8	2
hsa-miR-6732-5p	0	0	0	1	2	0	0	2	0	0	0	0	2	0	1	2	1	0
hsa-miR-6733-5p	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6734-3p	10	20	5	11	5	3	7	9	5	6	5	10	4	5	5	3	9	4
hsa-miR-6734-5p	5	4	5	2	2	1	2	3	0	0	3	2	3	1	1	0	7	5
hsa-miR-6735-3p	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
hsa-miR-6735-5p	2	2	2	5	1	1	2	3	1	5	4	5	4	2	0	3	9	5
hsa-miR-6736-3p	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-6736-5p	1	1	1	1	0	1	0	0	1	1	0	0	1	1	2	0	0	2
hsa-miR-6737-3p	1	0	1	1	0	0	0	1	0	0	1	1	0	3	0	0	0	0
hsa-miR-6738-3p	1	2	2	3	3	1	2	2	3	0	2	1	4	2	1	1	1	3
hsa-miR-6738-5p	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0
hsa-miR-6739-3p	0	0	2	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0
hsa-miR-6739-5p	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
hsa-miR-6740-3p	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
hsa-miR-6740-5p	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0
hsa-miR-6741-3p	4	2	3	1	0	0	0	0	0	0	1	0	4	3	0	1	7	2
hsa-miR-6741-5p	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	1	2
hsa-miR-6742-3p	0	0	0	0	0	0	1	2	0	0	0	0	1	1	0	0	1	0
hsa-miR-6742-5p	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0
hsa-miR-6743-3p	8	5	2	9	2	2	3	4	2	3	5	4	4	10	2	5	9	2
hsa-miR-6743-5p	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0
hsa-miR-6745	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
hsa-miR-6746-3p	0	1	2	0	0	1	0	0	1	1	1	0	2	0	2	1	1	1
hsa-miR-6746-5p	0	3	0	1	1	0	0	0	0	0	0	1	1	0	0	2	0	0
hsa-miR-6747-3p	5	8	9	4	5	1	0	3	6	3	4	8	5	6	2	6	7	5
hsa-miR-6747-5p	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6748-3p	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-6748-5p	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-6749-3p	2	1	3	0	0	2	0	0	0	2	0	3	3	3	1	1	2	1
hsa-miR-6749-5p	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0
hsa-miR-675-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-6750-3p	1	1	2	3	1	0	2	3	4	0	0	2	1	0	1	0	2	2
hsa-miR-6750-5p	2	1	0	5	3	1	1	3	1	1	1	1	2	3	1	1	3	0
hsa-miR-6751-3p	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6751-5p	1	0	0	0	0	0	1	0	1	0	1	0	2	4	0	1	5	2
hsa-miR-6752-3p	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
hsa-miR-6752-5p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-6753-3p	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0
hsa-miR-6753-5p	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-6754-3p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6754-5p	0	0	1	2	1	1	0	1	0	0	0	0	0	4	0	0	1	0
hsa-miR-6755-3p	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6755-5p	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-6756-3p	1	1	0	2	1	3	0	2	1	0	1	0	2	1	1	0	2	1
hsa-miR-6756-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-6757-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-6757-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6758-3p	0	3	1	1	1	4	0	2	1	1	1	0	1	2	0	2	3	0
hsa-miR-6758-5p	1	1	2	1	2	0	1	1	2	0	0	1	1	2	1	0	0	0
hsa-miR-6759-5p	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0
hsa-miR-676-3p	10	9	11	21	13	4	9	12	11	12	8	9	19	21	13	4	23	14
hsa-miR-676-5p	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	1
hsa-miR-6760-3p	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6761-3p	2	0	0	1	0	1	1	1	2	0	0	0	0	3	0	0	2	0
hsa-miR-6762-3p	0	1	0	0	0	1	1	0	1	0	3	0	3	0	0	1	3	0
hsa-miR-6762-5p	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0
hsa-miR-6763-3p	0	0	0	1	1	0	1	0	1	0	0	2	5	0	0	1	0	2
hsa-miR-6763-5p	7	5	3	4	3	0	3	5	2	3	4	2	6	6	1	2	4	2
hsa-miR-6764-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6764-5p	1	0	0	1	4	0	0	0	0	0	2	0	1	0	1	1	2	1
hsa-miR-6765-3p	1	1	3	1	1	2	1	3	2	2	2	1	2	3	2	0	3	3
hsa-miR-6765-5p	1	1	1	2	0	0	1	0	0	0	1	0	0	0	1	1	0	0
hsa-miR-6766-3p	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0
hsa-miR-6767-3p	1	0	0	1	0	0	0	0	3	0	0	2	0	1	0	0	0	1
hsa-miR-6767-5p	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	1
hsa-miR-6768-3p	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0
hsa-miR-6768-5p	4	0	1	0	0	1	4	4	0	2	0	1	2	0	2	0	2	1
hsa-miR-6769a-3p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6769a-5p	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-6769b-3p	0	2	3	1	1	2	2	0	0	1	0	0	2	2	1	0	2	1
hsa-miR-6770-3p	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
hsa-miR-6771-3p	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
hsa-miR-6771-5p	2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	4	0	0
hsa-miR-6773-5p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-6775-3p	1	1	1	0	0	0	1	1	0	0	2	0	1	1	0	0	1	1
hsa-miR-6775-5p	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0
hsa-miR-6776-3p	3	9	1	6	3	3	8	6	5	2	2	2	2	3	4	3	6	8
hsa-miR-6776-5p	0	0	0	1	0	1	0	1	0	0	1	1	0	2	1	0	0	0
hsa-miR-6777-3p	1	2	0	1	0	1	1	0	0	0	0	0	1	1	3	0	0	2
hsa-miR-6777-5p	5	3	3	2	6	2	1	4	0	0	2	2	7	5	3	1	4	1
hsa-miR-6778-3p	0	0	1	0	1	0	0	0	0	0	2	0	1	0	2	1	1	0
hsa-miR-6778-5p	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
hsa-miR-6779-3p	1	4	3	4	0	0	0	2	0	1	1	0	4	7	3	1	0	3
hsa-miR-6779-5p	6	7	2	12	1	8	3	10	5	4	5	6	10	4	2	6	3	3
hsa-miR-6780a-3p	1	0	1	0	0	0	2	1	0	0	0	0	1	2	0	1	1	1
hsa-miR-6780a-5p	2	2	0	1	0	1	0	2	1	1	0	1	0	1	0	0	1	3
hsa-miR-6780b-3p	3	4	0	1	3	2	2	1	3	0	3	3	4	3	2	3	2	2
hsa-miR-6780b-5p	4	2	1	2	0	0	0	1	2	0	1	2	0	0	1	0	5	1
hsa-miR-6781-3p	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0
hsa-miR-6781-5p	1	0	0	1	0	1	0	0	0	0	0	0	0	2	1	1	1	2
hsa-miR-6782-3p	4	3	1	1	0	0	4	3	0	0	3	1	1	3	0	4	7	3
hsa-miR-6782-5p	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-6783-3p	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0
hsa-miR-6783-5p	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	1
hsa-miR-6784-3p	3	1	0	3	0	0	3	0	1	1	3	1	0	3	2	0	4	0
hsa-miR-6784-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-6785-3p	0	0	0	1	1	1	0	1	1	2	1	0	0	0	1	1	2	0
hsa-miR-6785-5p	0	2	0	3	0	0	3	0	1	2	0	2	2	1	0	0	0	2
hsa-miR-6786-3p	2	8	4	3	0	2	3	3	0	1	1	1	5	11	0	0	6	2
hsa-miR-6786-5p	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0
hsa-miR-6787-3p	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0
hsa-miR-6788-5p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6789-3p	2	2	1	3	5	1	5	3	1	1	3	4	3	3	1	8	5	6
hsa-miR-6789-5p	1	0	0	1	1	0	0	2	1	0	1	0	1	4	0	1	2	0
hsa-miR-6790-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-6791-3p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-6791-5p	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1
hsa-miR-6792-3p	4	3	2	4	3	2	1	1	3	4	1	4	6	1	3	5	6	6
hsa-miR-6792-5p	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	2	0
hsa-miR-6793-3p	2	1	0	1	1	0	0	3	0	0	0	0	3	0	0	0	5	0
hsa-miR-6793-5p	0	3	0	3	0	1	1	0	0	2	0	1	0	1	1	1	2	0
hsa-miR-6794-3p	0	1	0	0	0	0	0	0	0	1	1	0	2	3	0	1	2	1
hsa-miR-6794-5p	0	0	3	3	0	1	0	1	0	0	0	0	0	1	0	1	1	1
hsa-miR-6795-3p	4	2	1	1	3	0	0	0	1	0	1	0	3	2	0	1	3	2
hsa-miR-6795-5p	1	0	0	0	1	0	0	0	0	0	1	1	1	3	1	0	2	1
hsa-miR-6797-3p	2	5	1	3	2	0	4	3	4	0	2	2	3	8	5	3	11	5
hsa-miR-6797-5p	0	1	0	2	3	0	0	1	1	2	1	1	5	0	0	1	2	1
hsa-miR-6798-5p	1	0	0	1	0	1	0	1	0	0	2	0	1	1	0	0	0	0
hsa-miR-6799-3p	3	8	4	2	3	4	2	6	2	4	2	6	10	5	1	3	5	4
hsa-miR-6799-5p	0	0	0	0	0	1	0	3	0	0	0	1	0	1	1	0	2	0
hsa-miR-6800-3p	18	12	11	19	10	7	7	12	7	14	7	4	11	16	4	10	10	8
hsa-miR-6800-5p	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-6801-3p	2	0	1	0	0	0	0	4	0	1	1	0	2	0	2	0	3	0
hsa-miR-6801-5p	0	1	2	1	0	1	2	0	0	0	2	0	6	1	0	1	5	0
hsa-miR-6802-3p	2	6	6	7	1	1	8	4	2	5	3	0	7	8	2	1	12	4
hsa-miR-6802-5p	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0
hsa-miR-6803-3p	9	8	4	9	3	5	4	11	2	1	3	0	7	5	4	3	8	7
hsa-miR-6803-5p	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-6804-3p	0	2	0	2	0	0	0	0	1	0	0	0	1	1	0	1	3	0
hsa-miR-6804-5p	3	2	3	3	0	2	2	2	3	1	2	2	1	3	1	2	6	3
hsa-miR-6805-5p	3	1	3	3	1	0	4	1	2	0	3	1	0	5	0	1	4	1
hsa-miR-6806-3p	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6807-3p	6	8	3	10	3	1	4	9	4	4	7	3	13	4	6	4	8	8
hsa-miR-6807-5p	12	5	4	8	9	6	5	4	9	7	8	9	6	9	3	3	6	4
hsa-miR-6808-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6808-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-6810-3p	4	0	2	3	2	2	1	2	0	4	1	1	5	10	2	3	6	2
hsa-miR-6810-5p	0	1	1	1	1	3	0	0	1	0	2	1	0	0	0	0	0	1
hsa-miR-6812-3p	3	0	0	2	1	1	1	5	2	2	1	1	1	1	1	3	2	2
hsa-miR-6812-5p	1	0	0	1	1	2	0	2	2	1	0	1	0	0	0	1	2	0
hsa-miR-6813-3p	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1
hsa-miR-6813-5p	0	0	1	2	0	1	1	0	0	0	2	0	0	0	0	0	1	1
hsa-miR-6814-3p	1	3	1	4	2	1	0	0	2	1	4	1	2	0	1	1	4	0
hsa-miR-6814-5p	4	2	0	3	0	0	1	2	2	0	6	3	3	2	2	1	7	1
hsa-miR-6815-5p	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	1	0	0
hsa-miR-6816-3p	1	0	0	1	0	0	2	3	0	0	0	0	2	0	3	1	0	2
hsa-miR-6816-5p	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-6817-3p	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0
hsa-miR-6817-5p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6818-3p	0	1	1	0	2	0	0	0	0	0	0	0	0	0	2	1	4	0
hsa-miR-6819-3p	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	2	0
hsa-miR-6819-5p	0	1	0	1	0	1	0	1	0	0	0	0	2	2	0	0	2	0
hsa-miR-6820-3p	1	2	0	0	0	0	0	0	1	0	1	1	0	2	0	0	0	1
hsa-miR-6820-5p	1	1	0	1	1	1	0	1	0	0	0	0	2	1	0	0	2	1
hsa-miR-6821-3p	0	0	0	0	1	1	1	2	0	0	1	0	0	1	1	0	2	1
hsa-miR-6821-5p	1	0	0	0	0	1	0	0	0	1	2	0	0	1	0	1	1	0
hsa-miR-6822-5p	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
hsa-miR-6824-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-6824-5p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6825-3p	1	5	1	2	0	1	2	0	0	0	2	0	0	2	2	0	0	1
hsa-miR-6825-5p	5	2	2	5	0	0	0	2	1	2	2	3	8	8	0	0	7	2
hsa-miR-6826-3p	7	6	2	6	1	1	2	4	2	5	5	2	6	6	0	5	7	2
hsa-miR-6826-5p	2	5	3	4	2	3	2	1	0	2	1	2	2	1	1	2	0	0
hsa-miR-6827-3p	1	2	0	1	1	0	0	2	0	0	0	0	0	1	0	0	2	2
hsa-miR-6827-5p	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6829-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-6830-3p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-6830-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-6831-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-6831-5p	1	5	1	0	0	1	1	2	1	0	0	1	1	0	0	1	7	4
hsa-miR-6832-3p	4	5	2	5	3	3	2	2	0	3	0	4	6	3	1	0	3	3
hsa-miR-6832-5p	4	3	4	2	2	0	2	5	0	1	2	1	1	3	0	1	0	0
hsa-miR-6833-5p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6834-3p	1	0	0	1	0	0	5	0	0	1	1	0	1	4	0	2	2	1
hsa-miR-6834-5p	2	2	0	0	1	1	2	5	1	0	5	3	3	3	0	3	3	2
hsa-miR-6835-3p	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
hsa-miR-6835-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
hsa-miR-6836-3p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6836-5p	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6837-3p	2	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	1	1
hsa-miR-6837-5p	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-6838-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-6838-5p	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
hsa-miR-6840-3p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-6840-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0
hsa-miR-6843-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-6844	1	0	0	1	0	0	0	0	1	0	0	1	0	2	0	0	0	0
hsa-miR-6845-3p	3	1	1	6	5	2	1	2	0	0	2	2	3	3	2	1	3	0
hsa-miR-6845-5p	0	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	1	0
hsa-miR-6846-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-6847-3p	0	1	1	1	0	0	0	0	0	4	2	0	0	0	0	0	0	0
hsa-miR-6847-5p	0	0	0	3	3	2	1	3	2	1	0	0	3	2	0	0	0	1
hsa-miR-6848-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-6848-5p	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0
hsa-miR-6849-3p	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0
hsa-miR-6849-5p	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-6850-3p	2	1	0	2	0	1	1	0	2	0	0	1	2	0	0	0	0	2
hsa-miR-6850-5p	2	5	5	4	0	0	1	0	0	0	1	0	3	4	1	0	1	1
hsa-miR-6851-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-6851-5p	1	1	1	1	0	1	0	0	1	0	1	0	2	1	2	0	0	1
hsa-miR-6852-5p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
hsa-miR-6855-3p	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0
hsa-miR-6855-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6856-3p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-6857-3p	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6857-5p	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-6858-3p	4	9	1	13	3	1	3	13	4	0	6	3	6	11	4	8	10	7
